"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.2node-bare.cs740-uwmadison-pg0.wisc.cloudlab.us",,,,"User:","sarthi"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --tcp --top-io --noheaders --nocolor --output /mnt/Work/FlexPushdownDB-Dev/logs/ffsa_latest_2_1650916080_dstat.txt",,,,"Date:","25 Apr 2022 14:48:01 CDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"tcp sockets",,,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","157","158","159","int","csw","lis","act","syn","tim","clo"
25-04 14:48:01,0.618,0.150,99.185,0.047,0,7808712704,62289928192,1419591680,59676094464,2919.880,596102.251,0.207,8.130,0,0,0.497,0.497,0.000,1050.440,1629.138,20,14,0,1,0
25-04 14:48:02,5.322,0.919,93.760,0,0,7830953984,62266621952,1419591680,59676778496,0,0,0,0,318006,548936,1,1,0,49440,106689,20,14,0,1,0
25-04 14:48:03,1.535,0.752,97.713,0,0,7832387584,62264954880,1419591680,59676966912,0,0,0,0,12184,1820,0,0,0,7851,15918,20,14,0,1,0
25-04 14:48:04,0.408,0.219,99.373,0,0,7833268224,62264074240,1419591680,59676962816,0,0,0,0,9738,286,1,1,0,4785,7088,20,14,0,1,0
25-04 14:48:05,1.440,0.877,97.621,0.063,0,7835467776,62261874688,1419591680,59676962816,0,57344,0,2,9598,66,0,0,0,5568,15353,20,14,0,1,0
25-04 14:48:06,0.721,0.313,98.904,0.063,0,7857111040,62240231424,1419591680,59676962816,0,1073152,0,29,3717328,7091594,1,1,0,4903,7453,20,14,0,1,0
25-04 14:48:07,0.439,0.251,99.310,0,0,7855550464,62241792000,1419591680,59676962816,0,0,0,0,11850,1774,0,0,0,4706,7425,20,14,0,1,0
25-04 14:48:08,0.939,0.657,98.404,0,0,7855095808,62242246656,1419591680,59676962816,0,0,0,0,9846,118,0,0,0,5392,9969,20,14,0,1,0
25-04 14:48:09,0.939,0.595,98.466,0,0,7856680960,62240661504,1419591680,59676962816,0,0,0,0,10036,352,1,1,0,5094,12396,20,14,0,1,0
25-04 14:48:10,0.533,0.627,98.810,0.031,0,7854944256,62242365440,1419595776,59676958720,0,57344,0,2,11738,824,0,0,0,4817,9965,20,14,0,1,0
25-04 14:48:11,0.438,0.282,99.248,0.031,0,7855996928,62241308672,1419595776,59676962816,0,12288,0,2,12292,820,1,1,0,4713,7259,20,14,0,1,0
