Query,Total Execution Time (ms),FileScanPOp (sec),FileScanPOp (% Total Time),FilterPOp (sec),FilterPOp (% Total Time)
1,31051511176.67,15.95,32.43,3.60,7.32
2,10960120102.67,2.42,8.04,0.09,0.31
3,17291956942.00,13.45,31.81,1.06,2.51
4,8697162961.33,11.88,47.91,0.98,3.95
6,3960894333.00,10.83,96.02,0.15,1.35
7,14547984839.33,13.68,35.72,1.19,3.11
8,32793146189.67,13.18,27.58,0.12,0.25
9,56444898794.33,15.45,10.80,0.12,0.09
10,11419282629.33,12.59,31.76,1.32,3.32
11,8570393616.67,2.18,14.89,0.00,0.02
12,8273482412.67,15.54,64.02,1.49,6.15
13,14701199203.00,2.13,6.56,2.87,8.84
14,4690062321.33,11.00,69.52,0.12,0.78
15,8028623173.00,22.06,75.86,0.35,1.21
16,4616726324.00,1.08,10.94,1.20,12.18
17,43041493955.67,14.61,12.56,1.14,0.96
18,66736564220.67,15.36,6.79,1.01,0.45
19,6065380276.00,13.71,76.28,3.58,19.92
20,17917781730.00,11.25,15.22,1.23,1.66
22,8521421193.33,1.46,5.73,1.09,4.28
