Query,Total Execution Time (ms),FileScanPOp (sec),FileScanPOp (% Total Time),FilterPOp (sec),FilterPOp (% Total Time)
1,28367772257.00,15.50,32.31,3.49,7.28
2,9993030731.67,2.43,8.14,0.13,0.43
3,16353355909.33,13.47,28.06,1.05,2.18
4,8558264933.67,11.91,44.67,0.98,3.67
6,3698660441.67,10.78,98.47,0.16,1.42
7,15175821363.00,13.57,31.29,1.61,3.72
8,29911746873.00,13.17,26.51,0.13,0.26
9,52748055616.33,15.39,9.48,0.12,0.07
10,11039238662.67,12.60,30.50,1.35,3.26
11,7633501029.67,2.22,14.52,0.00,0.01
12,7470598251.00,15.68,63.70,1.55,6.30
13,13253119900.33,2.10,6.48,2.82,8.69
14,4794909009.67,10.96,66.35,0.12,0.75
15,7993131052.00,22.06,73.77,0.33,1.09
16,4055016882.67,1.08,10.56,1.13,11.03
17,39152954031.67,14.43,11.72,1.08,0.87
18,68684015539.00,15.26,6.28,1.16,0.48
19,5982634822.00,13.58,76.12,3.56,19.93
20,17638565328.00,11.20,14.45,1.22,1.55
22,8005521749.50,1.41,5.63,1.09,4.38
