Query,Total Execution Time (ms),FileScanPOp (sec),FileScanPOp (% Total Time),FilterPOp (sec),FilterPOp (% Total Time)
1,28811821190.00,15.85,32.37,3.49,7.13
2,10063086209.33,2.44,8.23,0.10,0.32
3,15579721020.67,13.61,30.22,1.06,2.35
4,8340288402.67,12.05,46.76,0.98,3.82
6,3982450574.33,10.90,96.13,0.16,1.37
7,14219467478.33,13.87,34.88,1.61,4.03
8,29789093414.00,13.22,27.32,0.12,0.24
9,50752920571.33,15.48,10.05,0.12,0.08
10,11050415317.67,12.67,30.81,1.31,3.19
11,7630036989.33,2.17,14.75,0.00,0.01
12,7463087891.33,15.87,63.93,1.55,6.23
13,13343103579.00,2.19,6.68,2.84,8.65
14,4714554033.00,11.03,68.22,0.13,0.79
15,8000848861.67,22.16,75.20,0.32,1.10
16,4043131354.33,1.12,11.14,1.18,11.75
17,39258108995.00,14.40,11.88,1.37,1.12
18,67278389290.67,15.51,6.47,0.91,0.38
19,5929014429.67,13.56,76.59,3.48,19.68
20,16851259552.67,11.21,15.16,1.00,1.36
22,8012151258.67,1.43,5.74,1.11,4.44
