Query,Total Execution Time (ms),FileScanPOp (sec),FileScanPOp (% Total Time),FilterPOp (sec),FilterPOp (% Total Time)
1,45137355423.67,15.60,31.58,4.10,8.30
2,11101748580.67,2.51,8.40,0.57,1.91
3,30995201839.33,13.60,30.61,1.95,4.38
4,22748785001.00,12.00,46.07,1.48,5.67
6,20340846806.33,10.83,94.83,0.47,4.11
7,29530359340.00,13.61,33.32,1.88,4.60
8,37393484382.67,13.36,26.44,0.66,1.31
9,56010367604.67,16.00,11.12,0.23,0.16
10,29371711551.00,12.70,29.83,1.69,3.97
11,8512432837.00,2.15,14.34,0.22,1.43
12,27541041399.33,15.63,62.62,1.77,7.08
13,25806243010.67,2.17,6.20,2.97,8.47
14,21127915610.33,10.93,65.76,0.37,2.21
15,37832977232.67,22.25,73.22,0.60,1.98
16,4971728161.00,1.11,11.01,1.40,13.88
17,41108248890.33,14.80,12.89,1.02,0.89
18,67672107775.33,15.21,6.65,1.13,0.49
19,34822584038.67,13.68,73.62,4.19,22.54
20,31756873154.67,11.20,15.10,1.60,2.15
22,8030093048.67,1.42,5.61,2.01,7.93
