Query,Total Execution Time (ms),FileScanPOp (sec),FileScanPOp (% Total Time),FilterPOp (sec),FilterPOp (% Total Time)
1,48457534863.67,30.27,39.91,5.42,7.15
2,18627235020.00,4.66,3.14,0.17,0.11
3,34962673928.67,37.01,27.93,2.16,1.63
4,17532260421.00,28.28,37.54,1.67,2.22
6,7195039038.00,20.76,98.85,0.20,0.94
7,29656988822.00,37.05,35.73,4.10,3.95
10,25499130606.33,37.05,23.29,2.50,1.57
11,12739613213.33,3.47,9.79,0.00,0.01
12,16252647454.33,37.58,63.89,2.71,4.60
13,19970644602.67,2.90,3.18,3.49,3.82
14,9504194688.67,23.27,57.60,0.22,0.55
15,20596956139.67,94.72,66.47,1.18,0.83
16,6311970371.33,1.75,7.33,2.45,10.26
20,32113293000.67,29.14,12.69,3.79,1.65
22,12738306994.00,2.14,3.05,2.44,3.48
