Query,Total Execution Time (ms),FileScanPOp (sec),FileScanPOp (% Total Time),FilterPOp (sec),FilterPOp (% Total Time)
1,38785827827.67,15.83,29.35,3.48,6.45
2,16733175602.73,2.54,1.97,0.11,0.08
3,26384242739.91,13.69,12.03,0.99,0.87
4,12498069600.33,12.16,20.13,0.93,1.54
6,3808426236.00,11.02,98.34,0.16,1.44
7,23412660397.00,13.91,15.17,3.62,3.97
10,20327329413.67,12.87,8.02,1.39,0.87
11,11539073831.33,2.26,5.94,0.00,0.01
12,9773134452.33,15.72,43.43,1.59,4.40
13,18100281472.00,2.04,2.18,2.86,3.05
14,5726963475.33,11.20,36.80,0.15,0.48
15,8344386623.00,23.48,33.21,0.36,0.51
16,5733159480.33,1.19,4.73,2.64,10.54
20,29332240614.00,11.33,4.85,3.66,1.57
22,12181584209.67,1.50,2.10,2.14,3.00
