Query,Total Execution Time (ms),FileScanPOp (sec),FileScanPOp (% Total Time),FilterPOp (sec),FilterPOp (% Total Time)
1,29620347603.67,14.86,29.30,3.26,6.42
2,13234979662.55,2.43,2.10,0.11,0.09
3,18505216665.55,12.73,13.28,0.92,0.95
4,9646360229.67,11.38,22.63,0.90,1.79
6,3675936521.00,10.48,98.15,0.15,1.43
7,15568523272.00,12.93,17.03,3.63,4.78
10,14783508078.00,12.10,9.78,1.32,1.07
11,8605977754.00,2.17,6.24,0.00,0.01
12,7353219197.00,14.85,44.24,1.50,4.46
13,15812253595.67,2.01,2.40,2.90,3.46
14,5348723669.33,10.57,37.44,0.12,0.42
15,7115543998.67,21.73,33.26,0.33,0.51
16,4646672196.67,1.15,5.18,2.45,11.03
20,23205026439.00,10.66,5.23,3.60,1.77
22,10582288935.33,1.42,2.13,2.85,4.27
