Query,Total Execution Time (ms),FileScanPOp (sec),FileScanPOp (% Total Time),FilterPOp (sec),FilterPOp (% Total Time)
1,34375565414.67,21.88,35.94,3.78,6.21
2,13862522755.33,3.69,3.30,0.20,0.18
3,19988627193.67,18.15,18.40,1.06,1.08
4,10835554343.67,14.83,28.46,1.02,1.95
6,5048705852.00,14.52,98.58,0.16,1.12
7,18167409864.00,19.40,24.25,3.49,4.35
9,72648429425.33,24.10,3.77,0.25,0.04
10,16114625793.67,17.79,15.03,1.48,1.25
11,9375302609.67,3.23,9.61,0.00,0.01
12,8494280013.67,19.69,51.66,1.70,4.45
13,17152782440.00,2.87,3.50,3.40,4.15
14,6750206822.67,14.88,46.41,0.14,0.44
15,10569259788.67,42.32,51.29,0.55,0.67
16,5082893632.67,1.56,7.29,2.32,10.82
20,24572806056.00,15.76,7.71,3.47,1.70
22,10827503089.33,1.88,2.91,2.55,3.95
