"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.2node-bare.cs740-uwmadison-pg0.wisc.cloudlab.us",,,,"User:","sarthi"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --tcp --top-io --noheaders --nocolor --output /mnt/Work/FlexPushdownDB-Dev/build/logs/1650916033_dstat.txt",,,,"Date:","25 Apr 2022 14:47:14 CDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"tcp sockets",,,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","156","157","158","int","csw","lis","act","syn","tim","clo"
25-04 14:47:14,0.275,0.134,99.568,0.022,0,2006855680,107985494016,600657920,23023235072,1466.118,121225.229,0.057,2.954,0,0,0.000,0.000,0.000,3118.002,5862.818,11,13,1,0,0
25-04 14:47:15,0.343,0.375,99.282,0,0,2007625728,107984711680,600657920,23023247360,0,0,0,0,8166,214,0,0,0,770,4361,11,13,1,0,0
25-04 14:47:16,0.125,0.062,99.812,0,0,2007592960,107984744448,600657920,23023247360,0,0,0,0,9964,260,0,0,0,308,220,11,13,1,0,0
25-04 14:47:17,0.094,0.063,99.812,0.031,0,2007642112,107984695296,600657920,23023247360,0,12288,0,2,9240,74,0,0,0,376,226,11,13,1,0,0
25-04 14:47:18,0.438,0.344,99.218,0,0,2006179840,107986157568,600657920,23023247360,0,0,0,0,9600,74,0,0,0,741,4288,11,13,1,0,0
25-04 14:47:19,0.094,0.063,99.844,0,0,2006405120,107985932288,600657920,23023247360,0,0,0,0,9306,184,0,0,0,362,305,11,13,1,0,0
25-04 14:47:20,0.156,0.062,99.719,0.062,0,2006810624,107985518592,600666112,23023247360,0,61440,0,7,8526,134,0,0,0,302,216,12,13,0,0,0
25-04 14:47:21,0.471,0.345,99.183,0,0,2008113152,107984216064,600666112,23023247360,0,0,0,0,7744,216,0,0,0,16236,36996,12,13,0,0,0
25-04 14:47:22,0.941,0.502,98.525,0.031,0,2007797760,107984490496,600666112,23023247360,0,12288,0,2,9800,224,0,0,0,4527,9468,12,13,0,0,0
25-04 14:47:23,0.125,0.188,99.686,0,0,2007764992,107984523264,600666112,23023247360,0,0,0,0,7620,0,0,0,0,3756,6557,12,13,0,0,0
25-04 14:47:24,0.251,0.188,99.562,0,0,2007707648,107984580608,600666112,23023247360,0,0,0,0,11232,228,0,0,0,3772,6576,12,13,0,0,0
25-04 14:47:25,0.721,0.407,98.872,0,0,2008993792,107983294464,600666112,23023247360,0,0,0,0,6900,0,0,0,0,3967,10578,12,13,0,0,0
25-04 14:47:26,0.313,0.250,99.406,0.031,0,2008932352,107983347712,600674304,23023247360,0,40960,0,6,11998,66,0,0,0,3676,6563,12,13,0,0,0
25-04 14:47:27,0.313,0.188,99.374,0.125,0,2008948736,107983331328,600674304,23023247360,0,12288,0,2,7080,0,0,0,0,3657,6622,12,13,0,0,0
25-04 14:47:28,0.251,0.188,99.561,0,0,2008961024,107983319040,600674304,23023247360,0,0,0,0,10320,0,0,0,0,3631,6505,12,13,0,0,0
25-04 14:47:29,0.626,0.470,98.904,0,0,2008883200,107983388672,600674304,23023247360,0,0,0,0,9006,110,0,0,0,4057,10646,12,13,0,0,0
25-04 14:47:30,0.157,0.126,99.717,0,0,2008834048,107983437824,600674304,23023247360,0,0,0,0,11526,66,0,0,0,3649,6534,12,12,0,0,0
25-04 14:47:31,0.530,0.436,99.034,0,0,2008825856,107983446016,600674304,23023247360,0,0,0,0,9178,66,0,0,0,3628,6611,12,12,0,0,0
25-04 14:47:32,0.440,0.377,99.152,0.031,0,2009997312,107982274560,600674304,23023247360,0,12288,0,2,9600,0,0,0,0,3789,10416,12,12,0,0,0
25-04 14:47:33,0.720,0.219,99.061,0,0,2008940544,107983331328,600674304,23023247360,0,0,0,0,7920,0,0,0,0,3787,6592,12,12,0,0,0
25-04 14:47:34,0.438,0.282,99.280,0,0,2008899584,107983372288,600674304,23023247360,0,0,0,0,10746,110,0,0,0,3457,6445,12,12,0,0,0
25-04 14:47:35,0.094,0.189,99.717,0,0,2009165824,107983106048,600674304,23023247360,0,0,0,0,9360,0,0,0,0,3465,6530,12,12,0,0,0
25-04 14:47:36,0.689,0.595,98.717,0,0,2009808896,107982462976,600674304,23023247360,0,0,0,0,10858,66,0,0,0,3830,10561,12,12,0,0,0
25-04 14:47:37,0.251,0.094,99.623,0.031,0,2008727552,107983544320,600674304,23023247360,0,12288,0,2,10440,0,0,0,0,3433,6448,12,12,0,0,0
25-04 14:47:38,0.345,0.345,99.311,0,0,2008784896,107983486976,600674304,23023247360,0,0,0,0,11760,0,0,0,0,3461,6421,12,12,0,0,0
25-04 14:47:39,0.659,0.345,98.996,0,0,2007486464,107984785408,600674304,23023247360,0,0,0,0,9126,110,0,0,0,3770,7874,12,12,0,0,0
25-04 14:47:40,0.314,0.252,99.434,0,0,2008064000,107984207872,600674304,23023247360,0,0,0,0,12540,0,0,0,0,3877,9308,12,12,0,0,0
25-04 14:47:41,0.501,0.094,99.405,0,0,2008064000,107984207872,600674304,23023247360,0,0,0,0,10378,66,0,0,0,3539,6455,12,12,0,0,0
25-04 14:47:42,0.314,0.220,99.436,0.031,0,2007805952,107984465920,600674304,23023247360,0,12288,0,2,12540,0,0,0,0,3589,6423,12,12,0,0,0
25-04 14:47:43,0.534,0.471,98.996,0,0,2006843392,107985428480,600674304,23023247360,0,0,0,0,13500,0,0,0,0,4190,10615,12,12,0,0,0
25-04 14:47:44,0.251,0.188,99.561,0,0,2006814720,107985457152,600674304,23023247360,0,0,0,0,11286,110,0,0,0,3681,6478,12,12,0,0,0
25-04 14:47:45,0.094,0.126,99.780,0,0,2006814720,107985457152,600674304,23023247360,0,0,0,0,13026,66,0,0,0,3540,6395,12,12,0,0,0
25-04 14:47:46,0.126,0.031,99.843,0,0,2006814720,107985457152,600674304,23023247360,0,0,0,0,13318,66,0,0,0,3603,6479,12,12,0,0,0
25-04 14:47:47,0.283,0.440,99.214,0.063,0,2006425600,107985846272,600674304,23023247360,0,12288,0,2,10080,0,0,0,0,3901,10605,12,12,0,0,0
25-04 14:47:48,0.126,0.094,99.780,0,0,2006425600,107985846272,600674304,23023247360,0,0,0,0,10380,0,0,0,0,3515,6449,12,12,0,0,0
25-04 14:47:49,0.220,0.251,99.529,0,0,2006425600,107985846272,600674304,23023247360,0,0,0,0,12786,110,0,0,0,3645,6464,12,12,0,0,0
25-04 14:47:50,0.627,0.470,98.904,0,0,2004828160,107987443712,600674304,23023247360,0,0,0,0,11280,0,0,0,0,3993,10555,12,12,0,0,0
25-04 14:47:51,0.219,0.376,99.405,0,0,2004340736,107987931136,600674304,23023247360,0,0,0,0,11758,114,0,0,0,3630,6558,12,12,0,0,0
25-04 14:47:52,0.220,0.094,99.654,0.031,0,2004021248,107988250624,600674304,23023247360,0,12288,0,2,11340,0,0,0,0,3543,6470,12,12,0,0,0
25-04 14:47:53,0.157,0.126,99.717,0,0,2004029440,107988242432,600674304,23023247360,0,0,0,0,8820,0,0,0,0,3497,6426,12,12,0,0,0
25-04 14:47:54,0.532,0.501,98.966,0,0,2004086784,107988185088,600674304,23023247360,0,0,0,0,11706,110,0,0,0,4031,10639,12,12,0,0,0
25-04 14:47:55,0.313,0.125,99.562,0,0,2004086784,107988185088,600674304,23023247360,0,0,0,0,9840,0,0,0,0,3618,6583,12,12,0,0,0
25-04 14:47:56,0.376,0.125,99.499,0,0,2004045824,107988226048,600674304,23023247360,0,0,0,0,10618,66,0,0,0,3830,6555,12,12,0,0,0
25-04 14:47:57,1.096,0.501,98.372,0.031,0,2004058112,107988213760,600674304,23023247360,0,12288,0,2,11940,0,0,0,0,4378,10316,12,12,0,0,0
25-04 14:47:58,0.251,0.188,99.562,0,0,2004459520,107987812352,600674304,23023247360,0,0,0,0,10140,0,0,0,0,3761,6523,12,12,0,0,0
25-04 14:47:59,0.219,0.157,99.624,0,0,2004508672,107987763200,600674304,23023247360,0,0,0,0,9486,110,0,0,0,3842,6605,12,12,0,0,0
25-04 14:48:00,0.219,0.157,99.624,0,0,2004533248,107987738624,600674304,23023247360,0,0,0,0,10440,0,0,0,0,3827,6505,12,12,0,0,0
25-04 14:48:01,0.439,0.502,99.060,0,0,2004955136,107987316736,600674304,23023247360,0,0,0,0,10918,598,0,0,0,4233,10674,12,13,0,0,0
25-04 14:48:02,15.684,0.873,83.380,0.062,0,2228441088,107763830784,600674304,23023247360,0,12288,0,2,31430,290018,0,0,0,19778,34695,12,13,0,0,0
25-04 14:48:03,15.056,0.998,83.946,0,0,2375036928,107617234944,600674304,23023247360,0,0,0,0,8832,852,0,0,0,24872,6760,12,13,0,0,0
25-04 14:48:04,13.806,1.140,85.054,0,0,2520322048,107471949824,600674304,23023247360,0,0,0,0,10206,110,0,0,0,8711,10698,12,13,0,0,0
25-04 14:48:05,12.379,0.405,87.215,0,0,2510966784,107481296896,600674304,23023255552,0,0,0,0,15990,1950876,0,0,0,5990,6644,12,13,0,0,0
25-04 14:48:06,3.678,0.686,95.636,0,0,2654765056,107337498624,600674304,23023255552,0,0,0,0,15406,1737046,0,0,0,4826,6624,12,13,0,0,0
25-04 14:48:07,3.739,0.280,95.949,0.031,0,2536984576,107455279104,600674304,23023255552,0,12288,0,2,9600,0,0,0,0,4833,6664,12,13,0,0,0
25-04 14:48:08,4.216,0.468,95.315,0,0,2555592704,107436670976,600674304,23023255552,0,8192,0,1,9360,0,0,0,0,5440,10220,12,13,0,0,0
25-04 14:48:09,3.288,0.188,96.524,0,0,2573938688,107418324992,600674304,23023255552,0,0,0,0,10206,110,0,0,0,4618,6564,12,13,0,0,0
25-04 14:48:10,3.191,0.375,96.402,0.031,0,2591039488,107401224192,600682496,23023247360,0,20480,0,2,11700,0,0,0,0,4561,6524,12,13,0,0,0
25-04 14:48:11,3.286,0.751,95.962,0,0,2790993920,107201261568,600682496,23023255552,0,0,0,0,10302,320,0,0,0,5001,10698,12,13,0,0,0
25-04 14:48:12,3.407,0.344,96.186,0.063,0,2523860992,107468394496,600682496,23023255552,0,12288,0,2,10560,66,0,0,0,4488,6591,12,13,0,0,0
25-04 14:48:13,3.317,0.219,96.464,0,0,2542465024,107449790464,600682496,23023255552,0,0,0,0,9180,0,0,0,0,4354,6539,12,13,0,0,0
25-04 14:48:14,3.350,0.125,96.525,0,0,2561044480,107431211008,600682496,23023255552,0,12288,0,3,11766,110,0,0,0,4283,6567,12,13,0,0,0
25-04 14:48:15,3.631,0.344,96.025,0,0,2579791872,107412463616,600682496,23023255552,0,0,0,0,12600,0,0,0,0,4614,10721,12,13,0,0,0
25-04 14:48:16,3.032,0.594,96.374,0,0,2524016640,107468238848,600682496,23023255552,0,0,0,0,13204,132,0,0,0,5767,6539,12,13,0,0,0
25-04 14:48:17,2.909,0.970,96.090,0.031,0,2524823552,107467431936,600682496,23023255552,0,12288,0,2,13380,0,0,0,0,4568,6588,12,13,0,0,0
25-04 14:48:18,4.047,0.405,95.548,0,0,2527150080,107465105408,600682496,23023255552,0,0,0,0,13080,54,0,0,0,5126,10665,12,13,0,0,0
25-04 14:48:19,4.103,0.187,95.710,0,0,2545549312,107446706176,600682496,23023255552,0,0,0,0,13026,110,0,0,0,4810,6654,12,13,0,0,0
25-04 14:48:20,4.450,0.216,95.334,0,0,2563854336,107428401152,600682496,23023255552,0,0,0,0,14160,0,0,0,0,4901,6566,12,13,0,0,0
25-04 14:48:21,4.009,0.218,95.774,0,0,2582450176,107409805312,600682496,23023255552,0,0,0,0,12516,186,0,0,0,4667,6581,12,13,0,0,0
25-04 14:48:22,2.315,0.438,97.184,0.063,0,2498789376,107493466112,600682496,23023255552,0,12288,0,2,64950,44501002,0,0,0,5671,10746,12,13,0,0,0
25-04 14:48:23,0.314,0.282,99.404,0,0,2399248384,107593007104,600682496,23023255552,0,0,0,0,161556,147572740,0,0,0,6391,6847,12,13,0,0,0
25-04 14:48:24,0.157,0.408,99.436,0,0,2395619328,107596636160,600682496,23023255552,0,0,0,0,154512,150662969,0,0,0,5426,6667,12,13,0,0,0
25-04 14:48:25,0.908,0.595,98.498,0,0,2395496448,107596759040,600682496,23023255552,0,0,0,0,9840,58,0,0,0,4458,10065,12,13,0,0,0
25-04 14:48:26,0.188,0.157,99.655,0,0,2395234304,107597021184,600682496,23023255552,0,0,0,0,9718,66,0,0,0,3898,6533,12,13,0,0,0
25-04 14:48:27,0.219,0.157,99.592,0.031,0,2395234304,107597021184,600682496,23023255552,0,12288,0,2,9000,0,0,0,0,3991,6588,12,13,0,0,0
25-04 14:48:28,0.282,0.188,99.530,0,0,2395242496,107597012992,600682496,23023255552,0,0,0,0,10860,0,0,0,0,4055,6527,12,13,0,0,0
25-04 14:48:29,0.626,0.376,98.998,0,0,2395365376,107596890112,600682496,23023255552,0,0,0,0,10446,110,0,0,0,4246,10607,12,13,0,0,0
25-04 14:48:30,0.313,0.157,99.530,0,0,2395344896,107596910592,600682496,23023255552,0,0,0,0,10680,0,0,0,0,3876,6524,12,13,0,0,0
25-04 14:48:31,0.188,0.188,99.624,0,0,2395353088,107596902400,600682496,23023255552,0,0,0,0,9408,296,0,0,0,3834,6599,12,13,0,0,0
25-04 14:48:32,0.719,0.438,98.781,0.063,0,2394501120,107597754368,600682496,23023255552,0,12288,0,2,10380,0,0,0,0,4114,10642,12,13,0,0,0
25-04 14:48:33,0.125,0.251,99.624,0,0,2394607616,107597647872,600682496,23023255552,0,0,0,0,8640,0,0,0,0,3672,6485,12,13,0,0,0
25-04 14:48:34,0.282,0.375,99.343,0,0,2394583040,107597672448,600682496,23023255552,0,0,0,0,9486,110,0,0,0,3565,6462,12,13,0,0,0
25-04 14:48:35,0.157,0.157,99.686,0,0,2394574848,107597680640,600682496,23023255552,0,0,0,0,7500,0,0,0,0,3273,6318,12,13,0,0,0
25-04 14:48:36,0.909,0.689,98.402,0,0,2395148288,107597107200,600682496,23023255552,0,0,0,0,8218,66,0,0,0,4098,9847,12,13,0,0,0
25-04 14:48:37,0.157,0.094,99.717,0.031,0,2394775552,107597479936,600682496,23023255552,0,12288,0,2,6840,0,0,0,0,3376,6192,12,13,0,0,0
25-04 14:48:38,0.251,0.063,99.686,0,0,2394767360,107597488128,600682496,23023255552,0,0,0,0,7020,0,0,0,0,3459,6180,12,13,0,0,0
25-04 14:48:39,0.407,0.470,99.123,0,0,2394263552,107597991936,600682496,23023255552,0,0,0,0,8946,110,0,0,0,3899,7859,12,13,0,0,0
25-04 14:48:40,0.408,0.439,99.154,0,0,2394857472,107597398016,600682496,23023255552,0,0,0,0,9300,0,0,0,0,4068,9056,12,13,0,0,0
25-04 14:48:41,0.157,0.094,99.749,0,0,2394857472,107597398016,600682496,23023255552,0,0,0,0,8742,230,0,0,0,3785,6383,12,13,0,0,0
25-04 14:48:42,0.313,0.188,99.467,0.031,0,2394599424,107597656064,600682496,23023255552,0,12288,0,2,8340,0,0,0,0,3811,6395,12,13,0,0,0
